cat,keep,keep_lat,keep_lon,merged,merged_lat,merged_lon,merged_was_group,footprint,footprint_dam2
aquarium,Aquarium of the Pacific,33.761973499999996,-118.1969738,Jellyfish Touch Tank,33.761978,-118.1965194,False,Aquarium of the Pacific,20.66
aquarium,Aquarium of the Pacific,33.761973499999996,-118.1969738,Shark Lagoon,33.7611245,-118.19716179999998,False,Aquarium of the Pacific,20.66
